original_index,text,label,reason
12555,Sangam University Bhilwara Salutes Nobel Laureates United Nations International Day of the Girl Child 11 Oct 2014,2,duplicate
16312,"""I'm going to @user at US Bank Arena in Cincinnati, OH - Oct 9",1,duplicate
18334,An emotionally intelligent organisation through mindfulness? Find out how with @user in San Fran in Dec pls RT!,2,duplicate
19532,"""Charlie Rose with Desmond Tutu; Bill Joy (October 5, 1999): The Archbishop of Cape Town, South Africa and Nobel ...",1,duplicate
22040,275 photos of 01 Oct 2014 Rock on Dandiya Nite at Sangam University Bhilwara Just Beat it - Grab it in Picasa Web,1,duplicate
22163,After the Blood Moon comes the Pumpkin Sun via @user,1,duplicate
22336,Cycling Mission with Passion Team #Ride2Light Rahul Kumawat etal at Sangam University Bhilwara 15 Oct 2014,1,duplicate
22568,"""Charlie Rose with Bill Joy; Daniel Barenboim (March 13, 2000): Bill Joy, chief scientist at Sun Microsystems, di...",1,duplicate
23020,Republican candidate Carly Fiorina tweets that she is OK after getting into an accident with a deer Friday.,2,duplicate
23579,After the Blood Moon comes the Pumpkin Sun,1,duplicate
28152,I won the 2nd Star in my McLaren 12C in #CSRRacing #RaceYourFriends. Download FREE!,2,duplicate
30775,"""RT @user Andy Rooney, 92, will make last appearance on CBS' '60 Minutes' this Sunday - TVNewser",1,duplicate
31992,I won the 2nd Star in my McLaren 12C in #CSRRacing #RaceYourFriends. Download FREE!,2,duplicate
32072,Our last draw for an HD TV is today\u002c 24 Feb.\u002c at noon. Good luck\u002c everyone! Details to enter the #pplHDTV comp:,2,duplicate
33289,Charlie Rose with rich Lowry\u002c Mort Zuckerman\u002c Charles Cook\u002c Karen Tumulty\u002c Roger Simon & David Sanger (March 2\u002c ...,1,duplicate
35066,Check out all of Monday\u2019s highlights in 2:19 with the Daily Zap:,1,duplicate
35123,Perseverance is failing 19 times and succeeding the 20th. Julie Andrews,2,duplicate
35258,"""October 2: New photo of Justin with Lenny Kravitz at L&amp;#8217;Arc. via @user @user",1,duplicate
35462,Niki Lauda just confirmed to Sky that Alonso was released of contact on Thursday night,1,duplicate
36867,Cycling Mission with Passion Team #Ride2Light Rahul Kumawat etal at Sangam University Bhilwara 15 Oct 2014,1,duplicate
38883,Rivera says RB Jonathan Stewart looked good in practice and is confident he'll play Sunday vs. Green Bay.,2,duplicate
39410,"""Facebook may have solved mobile, but Google is still struggling with it via @user",1,duplicate
39670,After the Blood Moon comes the Pumpkin Sun,1,duplicate
40160,"""More meta-textually, Ant-Man may be the worst movie in the Marvel Universe for gender roles. Of its...",0,duplicate
40284,Carlo Ancelotti's 5 January targets to make his side even more stronger/Unstoppable! See: .,2,duplicate
43865,Buses to replace train services on Sunday as fans flock to the National Bowl to see Foo Fighters | oneMK,1,duplicate
44012,Charlie Rose with rich Lowry\u002c Mort Zuckerman\u002c Charles Cook\u002c Karen Tumulty\u002c Roger Simon & David Sanger (March 2\u002c ...,1,duplicate
44837,@user should we expect @user and the crew for an election special in DC on Tuesday?,1,duplicate
45079,Not making it to the main debate stage may not be such a bad thing for Carly Fiorina,0,duplicate
57377,"Kate Upton & Justin Verlander: To Hell with Cy Young, It’s Vatican Time! | TMZ TV",1,duplicate
